@relation training_data

@attribute @class@ {positive,negative,neutral}
@attribute @text@ string

@data
positive,'pensboozeanger aprilismissing lol my last two were the killers and umm i don t even remember might have been bright eyes'
positive,'sophieh pd rt thata guy it s not even like she s a celeb what has she done for your life lol'
negative,'princessdie rt luzuvlogs nuevo video con willyrexyt haciendo el newly friend tag d risas risas risas wii http t co ovatgugb y'
positive,'diska raya rt beasiswaindo rt scholarshipseu http t co tgscedwy q beasiswa women in business di leipzig jerman mau '
positive,'shotgunshotton geordiejay lol wt the photo '
negative,'christina jdb sobbing because justin actually cried http t co ow owrd r'
positive,'lattelotus sukai kitty fic updated pls read the a n thanks suhodork kiska blah minseokminion shippaijunmyeon https t co vsbozaniqc'
positive,'roycelondon kutzsodope and to think i was gonna eat yo butt too lol glad u showed ya real colors '
negative,'narryontop harry styles hello harry '
positive,'jeponic th day of community marathon '
positive,'missbang aliennumber son re fails maal hagamos una radio '
negative,'violet feathers moustacheninja yay d'
positive,'mychaircovers leonaburgesshd this is beautiful '
positive,'allextank tlmarshall lol we ll now i have nothing else to get excited about lol'
positive,'crimsonchink apera no my parents deleted it '
positive,'christinagii virgo boy get that bible out '
positive,'paco chronos can they just shut up'
positive,'chatelinines rt portista chatelinines portista mdr si il y sont tjrs p'
positive,'gowithbtr fckmenialler brigada amr '
positive,'chicklebird jacquib i m the queen of ranting while you read so i definitely understand lol'
positive,'andresafcisf http t co oltoiyiveu'
positive,'dearmarypie bills gone '
positive,'likeaboss chyna maree kedamarie lol its a dumb word idk where it come from'
positive,'sophyy mrlucasryan mum s paid the deposit d she s like so that s it lucas can t back out now '
positive,'regcas sethdill orv e ohh you are really helpful seth i m taking u with me to sc along with the others '
positive,'cocoachipstyles mr carterr i was always subscribed http t co tm mifyztb'
negative,'chychy my instagram p http t co qivjp ysyv'
positive,'nicolee xx sitting at work thinking about the all the things i could buy with my wages tomorrow but knowing that i can t because i have to save '
positive,'sergeyzhuravlev jeremyclarkson example of americans not quite getting british understatement http t co f syysla комментарии радуют '
positive,'ericaa adorabel x yeah i just saw omg it s cause i m in school rn lol'
positive,'natbob that was not me saying get some morphine to overcome doms i love the feeling just thought id share that it tastes like calpol '
positive,'bigm n dondaada ouzo power timandsid lol this girl has a bunch of dudes perving her and she s just trying to talk about sports'
positive,'i havefaithinme jac attack she s super adorable her name is nicola and it s her first day today she s in bel canto '
positive,'moltari wow i had a bunch of new followers that i hadn t followed back yet sorry cool people i fixed it '
positive,'roycelondon it s been real folks but i been up bout hours now lol'
positive,'tashinauyda hornyforcalum continuity error no guy next to amir then magically appears at d http t co msabkt ko '
positive,'moreveronica lrvertriebspart saferprint haughenseler ygorusan lauduncosmetics hmc muenchen markboettger '
positive,'mm marisabel the clingyness lordd '
positive,'rachherby anniekallod aww starbucks date soon please miss you '
positive,'snapin asllmjim liteebriqhtt atleast u tryin play wifey material that dude gonna marry u lol'
positive,'musingssahm booboo buttons thanks for the retweet '
positive,'nlouise x mrddyer this is hilarious lol'
negative,'smokingpeaches belledubrighton sometimes its like you read my mind '
positive,'jmdelturco rt danadelturco putnamseth some kids listen to disney tunes some listen to nursery songs my yo wants seth songs all day long l '
positive,'jbaranski i made more of that stuff i made before this time i wanted to take a picture of it on a plate http t co ymdrev sv'
positive,'myjumperisbased myboyobi ohh ok lol'
positive,'callmek la weirdofarealtho that avi tho lol'
negative,'wwdc wayne xred everythang u must think u can get me a sum lol bye'
positive,'liliya sb newblizzard jenniferbeals vice versa many still discussing every day the topic that jennifer is lesbian bisexual '
positive,'clydepnxkn rociiojdbm happy birthday http t co dp vpowjdd'
positive,'dat narcissist imanazmat jumping in swimming pool is not even a risk mat mano may b one day someone finds out that there was no gravity thn u ll regret p'
positive,'cuntmeout jaylikedis thanks boo ily too '
positive,'macson rt sid igrek http t co drf xsbclq'
positive,'oceanedelacotte lowoel p tit chier http t co w gvupxdq'
positive,'d wavestar twashparty haha this made me lol'
positive,'brunorives ninobroown tqt '
negative,'cozyclifford luke sos sigh will you ever follow me'
positive,'trevormoran l rt futuremrsmoran we are tweet rt '
positive,'jrgrimajulie gfargy morning rich good luck for today '
positive,'watchmekickup judy shadae clam is not a emotion bruh bruh lol it s a seashell ctfu'
positive,'salesnigel pfsclassics no it s their spider demo priceless comedy '
positive,'anetaknap niallofficial hello niall how are you i hope that is everything well poland love you much love '
positive,'madelinesc spearnock lol he s just begging to be jailbait'
positive,'anpumon rechanmole oh good bout time p'
positive,'chynitaa i want cookies or brownies or something sweet '
positive,'tw tpocket my dad gets so mad when i talk about wanting to lose weight lol he yells at me he s like ur not fat '
positive,'barcaad also he did great and we got ucl and many titles with him so thank u sandro for what u did roselldimisio'
positive,'symphvni highmitch symphvni lol people be doing the most say dat '
positive,'bieberstalked good question http t co a izgho i'
positive,'bigmeech ovoxo old ppl shouldn t drive almost hit me lol'
positive,'etoilegrace watching the classics like hannibal and scream tonight join us every author needs a break '
positive,'melchu bordon lloroo c ah'
positive,'savage conz colt mech xd is it physics '
negative,'sabriam kingnazulme lol yup you already know '
positive,'itsmaxmajor carlobanaag thanks for sharing man '
negative,'lilmoh getting dirty looks in tesco cause i m wearing shalwar kameez i m not a terrorist'
positive,'oppsluucasds myprincessanav kk ain amg p vc tem que morar longe '
positive,'cecilie moen rt teamofbieber justin crying in jeremy s arms this broke my heart http t co iwa nosdt '
positive,'kingjevii reading how to drink soup with a fork '
positive,'d gital bath when are animalasleader going to come to england '
positive,'nerd sexxy i was gonna work tonight but i m not lol'
positive,'transient nova brutishbatfink weapons names for bf at launch somewhere it s still a decent enough game at it s core '
positive,'elodiaa legendary time suitup yeah i hope for you '
positive,'ayedougiedoug rt rateddt ihave makeit sportscenterdre hold on hold on hold on cant forget greenz now lol'
positive,'b nesbrigade rt emilyrister i shouldn t be laughing this hard lol http t co ywsffuoetw'
positive,'xlexxlove l diggywild oh lol i ll meet you there lil shawty'
positive,'chips wise words http t co wh ja fqjr'
positive,'caminolala nicholasdyee ewbualberta ewb fairtradecanada all day everyday especially fridays fairtrade ff '
positive,'jujucrackbean atcoletto xd im to nice to do that xd'
positive,'jerry swaagger kingvthe st followed '
positive,'aletaxlwzz swagher we need a second season lol http t co vm qe ich '
positive,'kimmychoo siobhanfinnie thedannie b i always have class a munchies in my bag too lol x'
positive,'gracegidds niallofficial hii niall how s your knee '
positive,'ginacampanini alexsmith welcome to my world '
positive,'saigefetters lookey who was late to class today ido kicks lol'
positive,'imtuquick rt nevagaveashit rt this follow everyone who rt me to gain follwoers '
positive,'janegrafham unpacking and just found the important stuff http t co vrgc smts'
positive,'ro weezy rt ryan chu matt just got bird shitted lol'
positive,'ilharrysm harry styles at least you rather eating some frozen yogurt don t you princess d'
positive,'edissonthomasa rt wifeysworld happy friday everyone the girls wanna say hi also come see us today http t co gm nfyut http t co fqq jpxm '
positive,'rachelhappyface proresting haha love it '
positive,'jeffmc cormack air dfw castingcrowns markhallcc air radio branthansen hoping it was here in hometown atlanta '
positive,'aliceorlicka i m happy http t co mzr lrufoo'
positive,'cacaafacee rt ayvictorria finally met my bff today o for like seconds lol'
