@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
positive,'mafe arzuaga rt elmer vendo iphone s gigas blanco con un papel protector rosado meses de uso vallelyc todovalledupar valledupar http '
positive,'taamicavs mica me habla de lo que se va a poner en mis dios me pone mas manija de lo que estoy '
positive,'katnissrosety me doy cuenta de que el temor de eithne es su padre no puede haber otra cosa peor que temer a un familiar tuyo y más a clasedcao'
positive,'mebcalidadevida rivefuentes esto está produciendo una desligitimación de la democracia y el estado '
positive,'moya r dani perez me alegra bastante saberlo pero yo dije cr q el de cr subió el mercado n puse nada de bale ahí '
positive,'daaichu rt incredulas geminis estas descuidando mucho a alguien que te quiere ojo con eso increroscopo'
negative,'andersublime si alguna vez te sientes solo come delante de un espejo'
negative,'fabricia biomed pessoa acaba de visitar seu perfil http t co lbpydoxby '
positive,'palomarm todo esto es obra de messi para hacerse con la presidencia'
positive,'saaritaasanchez nada como después de días tenerte cerca jeronimobaena ay ay ay mi campeón '
positive,'marta vigo alexbabucho y lo hice no pois iso '
positive,'azulsinpar señores uno cierra los casos cuando ya les ha dado solución no diciendo simplemente como lo solucionarán '
positive,'tralkan nicoleeth al menos la esperanza tuviste yo ni eso'
positive,'marks valdez llegar es tener oficina propia'
positive,'trafficaracas via cardozod modrusco trafficmiranda imagínate q salistes de tu casa un día cualquiera am y hay cola pero en lo q pases túnel es r'
positive,'jesuslm el hombre que creó una identidad falsa y legal gracias a internet la posibilidad de emplear seudónimos y prog http t co gpmpq zq f'
positive,'pantunfle voz populi alguien se sorprende por ante estas afirmaciones los pufos son incontables y en las videotecas están las pruebas '
negative,'floritobarestb lauti comentó mi estado encima puso te quiero creo que voy a llorar lo extraño '
positive,'sandrallobell m ha sobrat història i m han faltat raons més concretes de dimissió a la compareixença de sandrorosell declaracions llegides molt fluixes'
positive,'florcarabillo que grande pollito en el camion de los bomberos '
negative,'alexgonzalez que grande diego costa '
positive,'agonoude sudán del sur y los rebeldes firman un alto el fuego efe después de más de un mes de conflicto que casi estal http t co flpcwq ok'
negative,'marolintorres yo no te doy sexo yo te hago el amor'
positive,'liliaherrera rt luisiraevies liliaherrera dónde está mario silva el que debería estar preso es diosdado ese si nos ha robado que jode chabestias '
positive,'natilu rt zairana muscarijoseok grimaldiok nunca estes x estar xq llega el indicado y estas ocupado frasesdelnegroalvarez'
positive,'nsnblv rt teamlatinjustin nosotros no lo tomamos como una broma no es un juego libre bizzle libre kalfanzo lil za via instagram http t c '
positive,'elacuyo coatza y si le sacas al marisco una rica crema de frijol y una jugosa arrachera http t co vepes ke i'
negative,'melanie rt cameronrlztgod nombre selene alias cara de concha '
positive,'fbolona erikadlv lo que es la juventud justin sale fresco en la foto que le tomaron a las am y la cantidad de coca que tendría adentro '
positive,'carpediemanton rt ainhoa menudo el justin despues de haber escupido a las fans participar en carreras ilegales borracho y demas le seguis teniend '
positive,'maria rt ortografiatuits escribir mal equivale a hablar vulgar comer sin modales tener mal aliento según sondeos la ortografía hace interes '
positive,'pascacelio odeio ele e ela estarem juntos mas prontos'
positive,'gaonnaelias jajajjaajaja una tarde con razecribeiro y fs carp jajaj te enojas alpedo facu '
negative,'tereit hay canciones que todavia es dificil oirlas sin que te llenen de recuerdos'
negative,'xeilalopez albiita lo mismo podria decir yo de ti que con esa cara que tienes jajajajajajaja yo tambien te quiero amor'
positive,'fanyestefania rt soyelqebuscabas lo que hay en ti es más que suficiente para mi '
negative,'alexaparrab rt angie la reina gente que ni me conoce se preocupa por mi estado de salud '
positive,'craveromariano rt karentoranzo quiero que venga un viento fresco y llueva '
negative,'bmalcobendas previa del bmalcobendas cb chapelaweb balonmano dhplatamasc http t co sb uagudu'
positive,'marisopla rt susanna mga marisopla sea quien sea te ayudo '
negative,'rojiblancodice vaya paradon de herrerin athlive'
negative,'soofiimaldonado con renata y el otro'
positive,'yohann bohler love lovin fun fun radio'
